state,crop,district,soil_risk_summary,soil_recommendation,farmer_message,source
Bihar,Maize,Araria,"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Arwal,zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Aurangabad,"soil is acidic, which may reduce nutrient availability for maize; low nitrogen may cause yellowing and weak vegetative growth; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Banka,"soil is acidic, which may reduce nutrient availability for maize; low nitrogen may cause yellowing and weak vegetative growth; low organic carbon indicates weak soil health and poor moisture/nutrient holding; boron deficiency may affect crop growth and reproductive development","use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; add FYM, compost, crop residue or green manure to improve soil health; use boron micronutrient carefully because excess boron can harm crops","Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; add FYM, compost, crop residue or green manure to improve soil health; use boron micronutrient carefully because excess boron can harm crops",Soil Health Card dataset
Bihar,Maize,Begusarai,"soil is alkaline, which may reduce micronutrient availability; low nitrogen may cause yellowing and weak vegetative growth",add organic matter and monitor zinc/iron deficiency symptoms; apply nitrogen in split doses as per local maize package of practices,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; apply nitrogen in split doses as per local maize package of practices,Soil Health Card dataset
Bihar,Maize,Bhagalpur,low organic carbon indicates weak soil health and poor moisture/nutrient holding; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,"add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops","Is district ke soil data ke hisaab se: add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops",Soil Health Card dataset
Bihar,Maize,Bhojpur,zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Buxar,"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Darbhanga,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Gaya,"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
